Date,Temp_High (F),Temp_Avg (F),Temp_Low (F),DewPoint_High (F),DewPoint_Avg (F),DewPoint_Low (F),Humidity_High (%),Humididy_Avg (%),Humidity_Low (%),Speed_High (mph),Speed_Avg (mph),Speed_Low (mph),Pressure_High (in),Pressure_Low (in),Precipition_Sum (in)
5/1/2023,61.3 ,55.1 ,51.3 ,61.0 ,52.1 ,48.2 ,99 ,90 ,74 ,32.4 ,3.6 ,0.0 ,29.57 ,29.11 ,0.13 
5/2/2023,59.4 ,52.1 ,45.9 ,51.8 ,48.6 ,45.5 ,99 ,88 ,67 ,30.6 ,4.5 ,0.0 ,29.56 ,29.42 ,0.30 
5/3/2023,55.4 ,51.3 ,44.8 ,50.4 ,47.6 ,44.4 ,99 ,87 ,75 ,20.4 ,1.7 ,0.0 ,29.69 ,29.48 ,0.00 
5/4/2023,48.0 ,45.6 ,42.6 ,47.1 ,42.9 ,40.6 ,99 ,91 ,81 ,16.8 ,1.1 ,0.0 ,30.09 ,29.68 ,0.01 
5/5/2023,55.4 ,49.3 ,44.8 ,49.6 ,45.2 ,39.6 ,99 ,87 ,60 ,14.8 ,1.0 ,0.0 ,30.27 ,30.08 ,0.02 
5/6/2023,71.6 ,57.8 ,47.1 ,56.5 ,49.5 ,41.9 ,97 ,77 ,34 ,13.9 ,0.6 ,0.0 ,30.24 ,30.07 ,0.00 
5/7/2023,66.0 ,59.0 ,51.1 ,55.9 ,50.5 ,45.1 ,94 ,74 ,50 ,26.4 ,5.2 ,0.0 ,30.09 ,29.80 ,0.00 
5/8/2023,73.4 ,61.8 ,54.1 ,59.0 ,52.7 ,32.5 ,99 ,75 ,33 ,13.2 ,0.3 ,0.0 ,29.92 ,29.70 ,0.21 
5/9/2023,60.4 ,52.1 ,42.1 ,45.5 ,40.2 ,31.3 ,94 ,66 ,36 ,10.7 ,0.1 ,0.0 ,30.14 ,29.91 ,0.00 
5/10/2023,63.7 ,54.9 ,43.9 ,53.4 ,46.4 ,33.8 ,93 ,75 ,37 ,28.0 ,4.1 ,0.0 ,30.20 ,30.06 ,0.00 
5/11/2023,66.4 ,59.7 ,53.6 ,58.5 ,53.5 ,50.5 ,91 ,80 ,65 ,22.4 ,2.0 ,0.0 ,30.12 ,30.01 ,0.01 
5/12/2023,71.1 ,62.1 ,55.2 ,60.6 ,57.2 ,54.7 ,99 ,85 ,60 ,24.8 ,3.0 ,0.0 ,30.09 ,29.98 ,0.00 
5/13/2023,76.8 ,64.5 ,54.7 ,63.0 ,57.4 ,50.9 ,97 ,79 ,48 ,13.0 ,0.2 ,0.0 ,30.12 ,29.96 ,0.00 
5/14/2023,64.0 ,55.1 ,45.3 ,54.1 ,46.8 ,40.3 ,95 ,74 ,47 ,12.1 ,0.5 ,0.0 ,30.24 ,30.11 ,0.00 
5/15/2023,63.1 ,56.6 ,47.1 ,54.9 ,47.6 ,38.7 ,93 ,73 ,45 ,29.1 ,5.5 ,0.0 ,30.25 ,29.92 ,0.00 
5/16/2023,64.2 ,59.9 ,57.4 ,58.3 ,55.5 ,51.8 ,99 ,86 ,72 ,32.2 ,8.0 ,0.0 ,29.92 ,29.53 ,0.00 
5/17/2023,60.4 ,53.9 ,44.6 ,57.6 ,40.3 ,26.2 ,99 ,64 ,33 ,19.2 ,1.5 ,0.0 ,30.15 ,29.51 ,0.00 
5/18/2023,56.3 ,48.7 ,37.4 ,45.5 ,34.8 ,25.3 ,79 ,60 ,34 ,22.6 ,3.4 ,0.0 ,30.43 ,30.14 ,0.00 
5/19/2023,61.9 ,55.5 ,47.1 ,54.7 ,48.2 ,42.8 ,92 ,77 ,61 ,18.6 ,1.6 ,0.0 ,30.47 ,30.32 ,0.00 
5/20/2023,66.2 ,61.9 ,56.3 ,65.3 ,60.6 ,54.5 ,99 ,96 ,82 ,31.5 ,3.6 ,0.0 ,30.33 ,29.91 ,0.80 
5/21/2023,69.1 ,61.5 ,54.9 ,65.7 ,58.9 ,54.5 ,99 ,92 ,67 ,30.4 ,1.5 ,0.0 ,30.05 ,29.82 ,1.87 
5/22/2023,58.1 ,54.3 ,46.4 ,55.0 ,50.1 ,46.0 ,99 ,86 ,70 ,17.9 ,1.3 ,0.0 ,30.36 ,30.04 ,0.00 
